acct_number,acct_name,acct_class,acct_type,normal_balance,fin_stmt,is_cash_acct,is_reserve_acct,subgroup
50105,accrued expenses,expense,operating,debit,income statement,0,0,501
50110,broker fees,expense,operating,debit,income statement,0,0,501
50115,facility management,expense,operating,debit,income statement,0,0,501
50120,grounds maintenance,expense,operating,debit,income statement,0,0,501
50125,leasing commissions,expense,operating,debit,income statement,0,0,501
50130,project management fees,expense,operating,debit,income statement,0,0,501
50135,property management fees,expense,operating,debit,income statement,0,0,501
50140,tenant acquisition costs,expense,operating,debit,income statement,0,0,501
50210,maintenance & repairs,expense,operating,debit,income statement,0,0,502
50215,utilities,expense,operating,debit,income statement,0,0,502
50220,surveillance monitoring,expense,operating,debit,income statement,0,0,502
50225,onsite services,expense,operating,debit,income statement,0,0,502
50230,exterior services,expense,operating,debit,income statement,0,0,502
50235,janitorial services,expense,operating,debit,income statement,0,0,502
50240,security services,expense,operating,debit,income statement,0,0,502
50245,tenant reimbursements,expense,operating,debit,income statement,0,0,502
50250,lease termination fees,expense,operating,debit,income statement,0,0,502
50310,insurance expense,expense,operating,debit,income statement,0,0,503
50315,property taxes,expense,operating,debit,income statement,0,0,503
50320,real estate taxes,expense,operating,debit,income statement,0,0,503
50410,closing costs,expense,operating,debit,income statement,0,0,504
50415,due diligence costs,expense,operating,debit,income statement,0,0,504
60110,marketing & advertising,expense,overhead,debit,income statement,0,0,601
60115,communications expense,expense,overhead,debit,income statement,0,0,601
60120,software subscriptions,expense,overhead,debit,income statement,0,0,601
60125,office supplies & admin,expense,overhead,debit,income statement,0,0,601
60210,appraisal fees,expense,overhead,debit,income statement,0,0,602
60215,architectural fees,expense,overhead,debit,income statement,0,0,602
60220,design consulting,expense,overhead,debit,income statement,0,0,602
60225,engineering fees,expense,overhead,debit,income statement,0,0,602
60230,zoning consulting,expense,overhead,debit,income statement,0,0,602
60235,construction costs,expense,overhead,debit,income statement,0,0,602
60240,construction management,expense,overhead,debit,income statement,0,0,602
60245,predevelopment costs,expense,overhead,debit,income statement,0,0,602
60250,permitting fees,expense,overhead,debit,income statement,0,0,602
60255,environmental remediation,expense,overhead,debit,income statement,0,0,602
60260,environmental studies,expense,overhead,debit,income statement,0,0,602
60265,entitlement costs,expense,overhead,debit,income statement,0,0,602
60310,it services,expense,overhead,debit,income statement,0,0,603
60315,technology expense,expense,overhead,debit,income statement,0,0,603
60320,technology services,expense,overhead,debit,income statement,0,0,603
60325,infrastructure consulting,expense,overhead,debit,income statement,0,0,603
60410,green building expense,expense,overhead,debit,income statement,0,0,604
60415,sustainability consulting,expense,overhead,debit,income statement,0,0,604
60420,esg strategy services,expense,overhead,debit,income statement,0,0,604
60510,accounting fees,expense,overhead,debit,income statement,0,0,605
60515,tax preparation fees,expense,overhead,debit,income statement,0,0,605
60520,consulting services,expense,overhead,debit,income statement,0,0,605
60525,compliance services,expense,overhead,debit,income statement,0,0,605
60530,professional services,expense,overhead,debit,income statement,0,0,605
60610,bank fees,expense,overhead,debit,income statement,0,0,606
60615,legal fees,expense,overhead,debit,income statement,0,0,606
60620,title fees,expense,overhead,debit,income statement,0,0,606
60710,asset management,expense,overhead,debit,income statement,0,0,607
60715,financial consulting,expense,overhead,debit,income statement,0,0,607
60720,investor relations,expense,overhead,debit,income statement,0,0,607
60810,data subscriptions,expense,overhead,debit,income statement,0,0,608
60815,market research,expense,overhead,debit,income statement,0,0,608
80110,interest expense,expense,debt service,debit,income statement,0,0,801
80115,notes payable interest expense,expense,debt service,debit,income statement,0,0,801
80120,insurance proceeds received,expense,debt service,debit,income statement,0,0,801
90120,capital gains/losses,expense,other,debit,income statement,0,0,901
90125,depreciation expense,expense,other,debit,income statement,0,0,901
90130,charitable contributions/gifts,expense,other,debit,income statement,0,0,901
90135,reconciliation discrepancies,expense,other,debit,income statement,0,0,901
90140,other expenses,expense,other,debit,income statement,0,0,901
99999,ask my accountant,expense,other,debit,income statement,0,0,999
