Address,City,State,Type,Status,Subtype,Market,Legal Entity,Floors,Units,Total Sq Ft,Reserve Requirement,Year Built,Last Renovated,Occupancy,property_id
302 Harry S Truman Pkwy,Annapolis,MD,Mixed-Use,For Lease,Mixed-Use Office,Mid-Atlantic,"GCP-302, LLC",3,12,40000,150000,1985,2015,0.8333333333333334,10500d578de44283bbe6a136b7ce83f9
509 S Cherry Grove Ave,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-509, LLC",1,3,5000,25000,1955,2010,0.6666666666666666,fa389718dfad44528f86f52017f7a511
2444 Solomons Island Rd,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-2444, LLC",1,5,12000,60000,1980,2010,0.8,41fc770cc3ed4c82b2e1040caf0a8e0b
914 Bay Ridge Rd,Annapolis,MD,Retail,For Lease,Street-Level Retail,Mid-Atlantic,"GCP-914, LLC",1,4,9000,45000,1970,2010,0.75,ac8f6067362e4c26bacd4d89c02729d0
1544-1598 Whitehall Rd,Annapolis,MD,Retail,For Lease,Flex Space,Mid-Atlantic,"GCP-1544-1598, LLC",1,10,25000,100000,1985,2015,0.8,fa7022aa6a364e5dbd07c1692428da23
407 East Ohio Street,Pittsburgh,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-407, LLC",1,6,18000,90000,1960,2010,1.0,dd4affaed4b54721876a5291fb890c19
4230 Main Street,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-4230, LLC",1,5,12000,60000,1920,2010,0.4,e46693ec7b294d7ebeb4891b56c5531e
520 Pottsville Park Plaza,Pottsville,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-520, LLC",1,10,25000,100000,1980,2010,1.0,3af38e3e4d284c679150f022d5492d13
1003 W Chester Pike,West Chester,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1003, LLC",1,6,18000,90000,1970,2010,0.3333333333333333,3e39e7962bda4f5fa77019fe74f79209
130 Kline Plaza,Harrisburg,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-130, LLC",1,8,22000,110000,1975,2010,0.75,c8d0f01feb444efabbeb41dc8de4b169
180 West Girard Avenue,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-180, LLC",1,6,16000,80000,1925,2010,0.8333333333333334,42da64125fdc4951a15f6dec077ea132
1026 Wyoming Avenue,Wyoming,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1026, LLC",1,5,11000,55000,1950,2010,0.8,9f63e477baab41879ca3c2116ab786d2
901 Dekalb Pike,Blue Bell,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-901, LLC",1,7,21000,105000,1980,2010,0.8571428571428571,5f29dde4e3d04681b0593e9bbbbdc95d
1100 Town Square Road,Pottstown,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1100, LLC",1,8,24000,120000,1985,2010,1.0,4cb96a530cbe485f91208b2de04a7b7e
550-571 Hepburn Road,Avondale,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-550-571, LLC",1,10,26000,130000,1990,2010,0.4,b96b4d472c56435bbe5cba6a0a1ef580
1508 Sullivan Trail,Easton,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1508, LLC",1,6,15000,75000,1970,2010,0.3333333333333333,348d8c267cdb454a8656c186ec063414
1709 Walnut Street,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-1709, LLC",1,4,9000,45000,1920,2010,1.0,bcac430d9cd546748185e8cd8c8b4f17
215 S Broad Street,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-215, LLC",1,5,12000,60000,1960,2010,0.6,cb8dd0ad657845d7a725714c1129823f
4124 Haverford Avenue,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-4124, LLC",1,4,8000,40000,1950,2010,0.75,b97bc4b3e84b453293be41745241428c
616 S 6th St,Philadelphia,PA,Retail,For Lease,Street-Level Retail,Northeast,"GCP-616, LLC",1,3,6000,30000,1920,2010,1.0,04d4b474beda4e0493acc2a5c34ce30e
11-15 E Saratoga St,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-11-15, LLC",3,12,30000,120000,1920,2015,0.8333333333333334,9164dfaac26a42ba9fb9414be36bf5a6
1214 Eutaw Pl,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-DTBAL, LLC",4,16,40000,160000,1925,2015,0.625,c4b466fe4103439393c3c0dee293d055
2116 N Charles St,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-DTBAL, LLC",4,20,50000,200000,1930,2015,0.4,c607457239cf43a898129b465d746150
3401 Greenway,Baltimore,MD,Office,For Sale,Urban Office,Mid-Atlantic,"GCP-3401, LLC",3,10,25000,100000,1910,2010,0.9,103bda99e77743f1b0a2c541085bad99
409 Twinridge Lane,Richmond,VA,Commercial,For Sale,Other,Mid-Atlantic,"GCP-409, LLC",1,2,8000,30000,1970,2010,0.5,4f914b01dca143e79a93ab1bd58fdd3d
